### Note the number of CPU for parallel crfpp is 6
Directory model does not exist! Creating ...
Executing: mkdir -p model
### Number of training files = 40
ACL09/P09-1001.txt ACL09/P09-1002.txt ACL09/P09-1003.txt ACL09/P09-1004.txt ACL09/P09-1005.txt ACL09/P09-1006.txt ACL09/P09-1007.txt ACL09/P09-1008.txt ACL09/P09-1009.txt ACL09/P09-1010.txt ACM/1.txt ACM/10.txt ACM/12.txt ACM/13.txt ACM/14.txt ACM/15.txt ACM/17.txt ACM/18.txt ACM/19.txt ACM/21.txt ACM/22.txt ACM/25.txt ACM/3.txt ACM/32.txt ACM/35.txt ACM/36.txt ACM/39.txt ACM/40.txt ACM/5.txt ACM/6.txt CHI08/p1-harboe.txt CHI08/p1009-zhou.txt CHI08/p1017-guy.txt CHI08/p1027-joinson.txt CHI08/p1045-stoll.txt CHI08/p1055-sankarpandian.txt CHI08/p1065-egelman.txt CHI08/p1075-tseng.txt CHI08/p1101-butler.txt CHI08/p1111-baumer.txt

### Constructing src train data model/train.src... Done!
Executing: /mnt/homes/lmthang/RA/parscit/thang/bin/../../bin/sectLabel/tr2crfpp.pl -q -in model/train.src -out model/train.feature -c ../../resources/sectLabel/sectLabel.config -template 1>model/template
#
## Training ...
Executing: /mnt/homes/lmthang/RA/parscit/thang/bin/../../crfpp/crf_learn -p 6 -f 3 -c 3 model/template model/train.feature model/sectLabel.model
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 
Done!6.16 s

Number of sentences: 40
Number of features:  1270336
Number of thread(s): 6
Freq:                3
eta:                 0.00010
C:                   3.00000
shrinking size:      20
iter=53 terr=0.04637 serr=1.00000 act=1270336 obj=4006.58944 diff=0.03410
iter=54 terr=0.04542 serr=1.00000 act=1270336 obj=3839.92710 diff=0.04160
iter=55 terr=0.05606 serr=1.00000 act=1270336 obj=3889.29473 diff=0.01286
iter=56 terr=0.04629 serr=1.00000 act=1270336 obj=3730.66821 diff=0.04079
iter=57 terr=0.04352 serr=1.00000 act=1270336 obj=3599.33271 diff=0.03520
iter=58 terr=0.04259 serr=1.00000 act=1270336 obj=3525.26009 diff=0.02058
iter=59 terr=0.04241 serr=1.00000 act=1270336 obj=3464.01023 diff=0.01737
iter=60 terr=0.04002 serr=1.00000 act=1270336 obj=3401.82585 diff=0.01795
iter=61 terr=0.03984 serr=1.00000 act=1270336 obj=3320.35809 diff=0.02395
iter=62 terr=0.03846 serr=1.00000 act=1270336 obj=3217.81616 diff=0.03088
iter=63 terr=0.03719 serr=1.00000 act=1270336 obj=3044.08356 diff=0.05399
iter=64 terr=0.04674 serr=1.00000 act=1270336 obj=3073.41306 diff=0.00963
iter=65 terr=0.03793 serr=1.00000 act=1270336 obj=2944.00086 diff=0.04211
iter=66 terr=0.03357 serr=1.00000 act=1270336 obj=2843.00254 diff=0.03431
iter=67 terr=0.03272 serr=1.00000 act=1270336 obj=2792.79719 diff=0.01766
iter=68 terr=0.03166 serr=1.00000 act=1270336 obj=2716.28906 diff=0.02739
iter=69 terr=0.03026 serr=1.00000 act=1270336 obj=2662.99277 diff=0.01962
iter=70 terr=0.02987 serr=1.00000 act=1270336 obj=2608.03598 diff=0.02064
iter=71 terr=0.02677 serr=1.00000 act=1270336 obj=2488.42275 diff=0.04586
iter=72 terr=0.02606 serr=1.00000 act=1270336 obj=2421.59244 diff=0.02686
iter=73 terr=0.02592 serr=1.00000 act=1270336 obj=2291.64400 diff=0.05366
iter=74 terr=0.02423 serr=1.00000 act=1270336 obj=2198.50402 diff=0.04064
iter=75 terr=0.02645 serr=1.00000 act=1270336 obj=2263.08236 diff=0.02937
iter=76 terr=0.02389 serr=1.00000 act=1270336 obj=2167.90081 diff=0.04206
iter=77 terr=0.02272 serr=1.00000 act=1270336 obj=2123.72597 diff=0.02038
iter=78 terr=0.02164 serr=1.00000 act=1270336 obj=2063.96514 diff=0.02814
iter=79 terr=0.02071 serr=1.00000 act=1270336 obj=1981.98180 diff=0.03972
iter=80 terr=0.01989 serr=1.00000 act=1270336 obj=1924.27656 diff=0.02911
iter=81 terr=0.01839 serr=1.00000 act=1270336 obj=1894.91913 diff=0.01526
iter=82 terr=0.01815 serr=1.00000 act=1270336 obj=1873.51188 diff=0.01130
iter=83 terr=0.01839 serr=1.00000 act=1270336 obj=1823.79303 diff=0.02654
iter=84 terr=0.01738 serr=1.00000 act=1270336 obj=1801.81508 diff=0.01205
iter=85 terr=0.01667 serr=1.00000 act=1270336 obj=1773.28612 diff=0.01583
iter=86 terr=0.01587 serr=1.00000 act=1270336 obj=1756.00837 diff=0.00974
iter=87 terr=0.01585 serr=1.00000 act=1270336 obj=1729.37295 diff=0.01517
iter=88 terr=0.01600 serr=1.00000 act=1270336 obj=1698.73306 diff=0.01772
iter=89 terr=0.02037 serr=1.00000 act=1270336 obj=1677.27764 diff=0.01263
iter=90 terr=0.01479 serr=1.00000 act=1270336 obj=1613.73003 diff=0.03789
iter=91 terr=0.01230 serr=1.00000 act=1270336 obj=1572.08521 diff=0.02581
iter=92 terr=0.01238 serr=1.00000 act=1270336 obj=1554.43904 diff=0.01122
iter=93 terr=0.01246 serr=1.00000 act=1270336 obj=1544.77450 diff=0.00622
iter=94 terr=0.01209 serr=1.00000 act=1270336 obj=1526.28565 diff=0.01197
iter=95 terr=0.01167 serr=1.00000 act=1270336 obj=1497.55464 diff=0.01882
iter=96 terr=0.01151 serr=1.00000 act=1270336 obj=1462.04487 diff=0.02371
iter=97 terr=0.01143 serr=1.00000 act=1270336 obj=1409.41616 diff=0.03600
iter=98 terr=0.01048 serr=1.00000 act=1270336 obj=1354.71492 diff=0.03881
iter=99 terr=0.01048 serr=1.00000 act=1270336 obj=1316.20024 diff=0.02843
iter=100 terr=0.00939 serr=1.00000 act=1270336 obj=1273.17733 diff=0.03269
iter=101 terr=0.00857 serr=1.00000 act=1270336 obj=1234.92507 diff=0.03004
iter=102 terr=0.00802 serr=1.00000 act=1270336 obj=1209.83278 diff=0.02032
iter=103 terr=0.00730 serr=0.97500 act=1270336 obj=1177.84155 diff=0.02644
iter=104 terr=0.00685 serr=0.97500 act=1270336 obj=1149.95384 diff=0.02368
iter=105 terr=0.00717 serr=0.97500 act=1270336 obj=1133.85861 diff=0.01400
iter=106 terr=0.00624 serr=1.00000 act=1270336 obj=1114.12491 diff=0.01740
iter=107 terr=0.00653 serr=1.00000 act=1270336 obj=1095.05454 diff=0.01712
iter=108 terr=0.00561 serr=1.00000 act=1270336 obj=1068.81468 diff=0.02396
iter=109 terr=0.01069 serr=0.97500 act=1270336 obj=1181.96755 diff=0.10587
iter=110 terr=0.00545 serr=0.97500 act=1270336 obj=1058.84091 diff=0.10417
iter=111 terr=0.00608 serr=0.92500 act=1270336 obj=1043.75470 diff=0.01425
iter=112 terr=0.00497 serr=0.95000 act=1270336 obj=1026.38662 diff=0.01664
iter=113 terr=0.00481 serr=0.87500 act=1270336 obj=1017.64778 diff=0.00851
iter=114 terr=0.00450 serr=0.90000 act=1270336 obj=992.94022 diff=0.02428
iter=115 terr=0.00429 serr=0.90000 act=1270336 obj=971.01204 diff=0.02208
iter=116 terr=0.00405 serr=0.90000 act=1270336 obj=955.48538 diff=0.01599
iter=117 terr=0.00399 serr=0.92500 act=1270336 obj=939.67581 diff=0.01655
iter=118 terr=0.00399 serr=0.92500 act=1270336 obj=921.21613 diff=0.01964
iter=119 terr=0.00376 serr=0.95000 act=1270336 obj=906.37326 diff=0.01611
iter=120 terr=0.00347 serr=0.92500 act=1270336 obj=881.59372 diff=0.02734
iter=121 terr=0.00378 serr=0.92500 act=1270336 obj=875.12514 diff=0.00734
iter=122 terr=0.00323 serr=0.90000 act=1270336 obj=860.06386 diff=0.01721
iter=123 terr=0.00320 serr=0.90000 act=1270336 obj=855.06899 diff=0.00581
iter=124 terr=0.00278 serr=0.82500 act=1270336 obj=847.41612 diff=0.00895
iter=125 terr=0.00275 serr=0.82500 act=1270336 obj=837.96270 diff=0.01116
iter=126 terr=0.00246 serr=0.80000 act=1270336 obj=823.57339 diff=0.01717
iter=127 terr=0.00243 serr=0.82500 act=1270336 obj=814.26290 diff=0.01130
iter=128 terr=0.00246 serr=0.85000 act=1270336 obj=806.14419 diff=0.00997
iter=129 terr=0.00225 serr=0.85000 act=1270336 obj=794.01847 diff=0.01504
iter=130 terr=0.00238 serr=0.87500 act=1270336 obj=792.29875 diff=0.00217
iter=131 terr=0.00235 serr=0.87500 act=1270336 obj=783.34162 diff=0.01131
iter=132 terr=0.00228 serr=0.87500 act=1270336 obj=778.46893 diff=0.00622
iter=133 terr=0.00206 serr=0.80000 act=1270336 obj=772.48770 diff=0.00768
iter=134 terr=0.00196 serr=0.80000 act=1270336 obj=765.07092 diff=0.00960
iter=135 terr=0.00167 serr=0.72500 act=1270336 obj=754.91054 diff=0.01328
iter=136 terr=0.00188 serr=0.72500 act=1270336 obj=747.39955 diff=0.00995
